ASSET_ID,SOURCE_SYSTEM,ASSET_TYPE,ASSET_SUBTYPE,LATITUDE,LONGITUDE,MAX_PRESSURE_RATING_PSI,MANUFACTURER,INSTALL_DATE,ZONE
SC-PAD-42,SNOWCORE,WELL_PAD,MULTI_WELL,32.1,-102.8,1500,Schlumberger,2020-01-24,DELAWARE
SC-PAD-43,SNOWCORE,WELL_PAD,MULTI_WELL,32.15,-102.75,1500,Schlumberger,2022-04-08,DELAWARE
SC-PAD-44,SNOWCORE,WELL_PAD,SINGLE_WELL,32.2,-102.7,1440,Halliburton,2021-12-04,DELAWARE
SC-PAD-45,SNOWCORE,WELL_PAD,MULTI_WELL,32.05,-102.85,1500,Schlumberger,2020-10-14,DELAWARE
SC-SEP-101,SNOWCORE,SEPARATOR,3PHASE,32.08,-102.6,1440,Schlumberger,2020-01-03,DELAWARE
SC-SEP-102,SNOWCORE,SEPARATOR,3PHASE,32.12,-102.55,1440,Exterran,2021-04-17,DELAWARE
SC-COMP-A,SNOWCORE,COMPRESSOR,RECIPROCATING,32.0,-102.5,1200,Ariel,2020-09-07,DELAWARE
SC-COMP-B,SNOWCORE,COMPRESSOR,CENTRIFUGAL,31.95,-102.45,1000,Solar Turbines,2023-04-15,DELAWARE
SC-CPF-01,SNOWCORE,PROCESSING_FACILITY,CENTRAL,31.9,-102.3,1440,Wood Group,2022-01-25,DELAWARE
TF-V-204,TERAFIELD,SEPARATOR,2PHASE_VERTICAL,31.8,-101.9,600,Natco,2012-12-14,MIDLAND
TF-V-205,TERAFIELD,SEPARATOR,2PHASE_VERTICAL,31.75,-101.85,650,Natco,2015-05-05,MIDLAND
TF-H-301,TERAFIELD,SEPARATOR,2PHASE_HORIZONTAL,31.85,-102.0,720,Cameron,2013-06-04,MIDLAND
TF-COMP-LP-A,TERAFIELD,COMPRESSOR,LOW_PRESSURE,31.7,-101.8,500,Ingersoll Rand,2011-07-04,MIDLAND
TF-TK-401,TERAFIELD,TANK,OIL_STORAGE,31.65,-101.75,15,Unknown,2015-06-20,MIDLAND
TF-TK-402,TERAFIELD,TANK,WATER_STORAGE,31.68,-101.78,15,Unknown,2014-01-24,MIDLAND
TF-MID-HUB,TERAFIELD,PROCESSING_FACILITY,GATHERING_HUB,31.78,-101.88,800,Pioneer Legacy,2017-09-04,MIDLAND
TF-VALVE-101,TERAFIELD,VALVE,CONTROL,31.82,-101.92,550,Fisher,2016-02-18,MIDLAND
TF-VALVE-102,TERAFIELD,VALVE,SAFETY,31.79,-101.89,600,Fisher,2014-11-20,MIDLAND
