SEGMENT_ID,SOURCE_ASSET_ID,TARGET_ASSET_ID,LINE_DIAMETER_INCHES,MAX_PRESSURE_RATING_PSI,STATUS,LENGTH_MILES
PIPE-01,SC-PAD-42,SC-SEP-101,8,1440,ACTIVE,13.34
PIPE-02,SC-PAD-43,SC-SEP-101,8,1440,ACTIVE,5.74
PIPE-03,SC-PAD-44,SC-SEP-102,6,1440,ACTIVE,3.29
PIPE-04,SC-PAD-45,SC-SEP-101,8,1440,ACTIVE,1.51
PIPE-05,SC-SEP-101,SC-COMP-A,12,1200,ACTIVE,10.09
PIPE-06,SC-SEP-102,SC-COMP-A,10,1200,ACTIVE,11.71
PIPE-07,SC-COMP-A,SC-COMP-B,16,1000,ACTIVE,14.79
PIPE-08,SC-COMP-B,SC-CPF-01,20,1000,ACTIVE,12.9
PIPE-TF-01,TF-V-204,TF-VALVE-101,6,550,ACTIVE,13.06
PIPE-TF-02,TF-VALVE-101,TF-MID-HUB,8,800,ACTIVE,6.01
PIPE-TF-03,TF-V-205,TF-MID-HUB,6,650,ACTIVE,7.07
PIPE-TF-04,TF-H-301,TF-MID-HUB,8,720,ACTIVE,12.59
PIPE-TF-05,TF-MID-HUB,TF-COMP-LP-A,10,500,ACTIVE,2.86
PIPE-TF-06,TF-COMP-LP-A,TF-TK-401,8,15,ACTIVE,5.65
PIPE-TF-07,TF-MID-HUB,TF-TK-402,6,15,ACTIVE,10.22
PIPE-88,SC-SEP-101,TF-V-204,6,600,ACTIVE,10.68
PIPE-89,SC-CPF-01,TF-MID-HUB,12,800,PLANNED,10.41
